nom,prix,remise,code,EAN 13,référence fabricant,description
"
              Pistolet à air chaud HG 20-600 - 2000W - Débit d'air 150/500 l/min - 0,62 kg - Metabo          ",134.64,"-38,98%",B6817400,4061792185906,MET-602066000,Pistolet à air chaud polyvalent avec molette de réglage pour un réglage facile et en continu de la température
"
              Pistolet à air chaud HG 16-500 - 1600W - Débit d'air 240/450 l/min - 0,6 kg - Coffret Metabox - Metabo          ",112.01,"-38,54%",B6817300,4061792185937,MET-601067500,"Nombreuses possibilités d'utilisation : pour éliminer la peinture, mettre en forme, rétrécir, souder etc."
"
              Pistolet à air chaud HG 16-500 - 1600W - Débit d'air 240/450 l/min - 0,6 kg - Metabo          ",92.89,"-38,91%",B6817200,4061792185753,MET-601067000,"Nombreuses possibilités d'utilisation : pour éliminer la peinture, mettre en forme, rétrécir, souder etc."
"
              Radio chargeur 12-18 V R 12-18 DAB BT - Pick+Mix (sans batterie) - Metabo          ",171.13,"-39,7%",B6796300,4007430341488,MET-600778850,"Radio de chantier robuste avec réception numérique DAB+, excellente qualité de son et nombreuses fonctions supplémentaires"
"
              Radio chargeur 12-18 V R 12-18 BT - Pick+Mix (sans batterie) - Metabo          ",149.24,"-39,51%",B6796200,4007430332219,MET-600777850,Radio de chantier AM/FM robuste et compacte avec Bluetooth pour écouter de la musique sans câble à partir d'un smartphone ou d'une tablette
"
              Adaptateur 12 V PowerMaxx PA 12 - Pick+Mix (sans batterie) - Metabo          ",56.9,"-33,99%",B6796000,4007430341044,MET-600298000,"Adaptateur multifonctions compact, utilisable comme station de chargement, comme source d'énergie et comme lampe Raccord USB rapide pour le chargement et l'utilisation d'appareils USB (courant de charge max. 2 Ah) Raccord de 12 V pour la veste chauffante Metabo Fonctionne avec toutes les batteries coulissantes Li-Power et LiHD de 12 volts Équipement standard sans batterie, ni chargeur"
"
              Outil multifonctions 18 V MT 18 LTX BL QSL - Pick+Mix (sans batterie), coffret Metabox - Metabo          ",305.1,"-40,53%",B6791400,4061792183940,MET-613088840,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Outil multifonction sans fil  TE-MG 18/1 Li - Solo - EINHELL           ",92.94,,B8562500,4006825672947,EIN-4465195,"L'outil multifonction sans fil Einhell TE-MG 18/1 Li - Solo est conçu pour répondre aux besoins de travaux variés, comme le sciage, le ponçage et le grattage, dans le cadre de constructions, rénovations ou rénovations. Faisant partie de la famille Power X-Change, il est compatible avec toutes les batteries de cette gamme (batterie et chargeur vendus séparément). Son attache rapide permet un changement d'accessoires sans outil, offrant ainsi une grande flexibilité et rapidité dans les travaux."
"
              Nettoyeur diamant en T pour meules - Holzmann          ",43.9,,B8334800,9120039902647,HOL-TDSSA45,"Poids net en kg : 0,50"
"
              Pistolet à souder - 200WW - 230V / 50Hz - Holzmann          ",54.4,"-11,55%",B8330300,9120058372872,HOL-LP700_230V," 2 panne de rechange, fil de soudure 10 g, Flux 10g"
"
              Decapeur thermique - 2000W - 230V / 50Hz - Holzmann          ",66,,B8329100,9120058372865,HOL-HLP2000_230V,"Poids net en kg : 1,80"
"
              Défonceuse - 1200W - 230V / 50Hz - Holzmann          ",110.1,,B8321800,9120058373510,HOL-OBF1200_230V," Protecteur de copeaux, guide parallèle, adaptateur de copeaux, butée de profondeur type “revolver” et compas"
"
              Boîtier de démarrage synchronisé 400V / 230 V - Holzmann          ",154.2,,B8316200,9120058371707,HOL-ALA1_400V,"Poids net en kg : 1,52"
"
              Outils tournage - Holzmann          ",152.21,"-13,62%",B8314800,9120058372346,HOL-9TLG10,"Poids net en kg : 1,41"
"
              Satineuse - 800W - 230V / 50Hz - Holzmann          ",163.18,"-10,29%",B8313300,9120058371752,HOL-SM100_230V,"Poids net en kg : 4,20"
"
              Encocheuse manuelle de tubes - Holzmann          ",270.98,"-1,28%",B8306800,9120039905556,HOL-RAM61,Poids net en kg : 19
"
              Palan électrique 1600 W - 230 V - charge max 1000 kg - Holzmann          ",555,,B8302000,9120058376153,HOL-ESZ1000D_230V,"Différentes versions de palans électriques, adaptés pour le levage et le déplacement des charges dans les chantiers."
"
              Mortaiseuse pour dégauchisseuse HOB260NL ou ECO + mandrin - Holzmann          ",645,,B8299500,9120039903262,HOL-K5260LLL,Poids net en kg : 30
"
              Appareil de perçage de trous longs Holzmann adapté aux HOB310ECO et HOB310ECOLL - Holzmann          ",534,,B8298000,9120058379338,HOL-HOB310ECOLL,: mandrin type Westcott 3-16mm
"
              Encocheuse manuelle d´établi - Holzmann          ",706.14,"-2,06%",B8296400,9120039905563,HOL-ESM4,Poids net en kg : 110
"
              Machine d'assemblage de cadres - 600W - 230 V / 50 Hz - Holzmann          ",584.01,"-10,43%",B8293800,9120058379451,HOL-KNF1_230V,": 1 foret forme W-2, 1 porte-pinces de Ø6 et Ø8 mm, gabarit de réglage du foret"
"
              Découpeur PLASMA INVERTER - 230 V - 6 Kva - 40A - Holzmann          ",652,,B8293600,9120039904757,HOL-DIPA40," Réducteur de pression, boîte complète de pièce de rechange, torche de coupe, pince de masse."
"
              Dispositif de pivotement de panneaux - Cadre de montage sur plaque - Holzmann          ",768.43,"-6,97%",B8293500,9120058378263,HOL-SHT310PAR,"Poids net en kg : 61,60"
"
              Machine d'étirage de rouleaux Holzmann - Holzmann          ",892.08,"-0,1%",B8292400,9120058377426,HOL-RSM710,Poids net en kg : 61
"
              Mortaiseuse à bédane - 750W - 230V - Holzmann          ",1153,,B8290700,9120039902999,HOL-STM26_230V,"mandrin 16mm, socle"
"
              Perceuse à charnières pneumatique de type ""BLUM"" D. 35 mm - 230V - 750W - Holzmann          ",1093,,B8290600,9120058376948,HOL-BBM35PNEU_230V, Tète de perçage BLUM.
"
              Machine à étirer les rouleaux Holzmann, gorge : 690 mm - Holzmann          ",1221,,B8290200,9120058379673,HOL-RSM690-15,Poids net en kg : 125
"
              Mortaiseuse à méches - 2200W - 400V - Holzmann          ",1276.5,"-1,28%",B8287700,9120039903958,HOL-LBM290_400V," Mandrin Wescott 0-16mm, guide d´onglet dispositif de perçage avec 4 positions, socle et presseur."
"
              Mortaiseuse à méches - 2200W - 230V - Holzmann          ",1293,,B8287600,9120039903965,HOL-LBM290_230V," Mandrin Wescott 0-16mm, guide d´onglet dispositif de perçage avec 4 positions, socle et presseur."
"
              Machine d'assemblage de cadres double - 600 W - 230 V / 50 Hz - Holzmann          ",1126,,B8287500,9120058379475,HOL-KNF2PNEU_230V,": 2 forets forme W-2, 2 porte-pinces de Ø6 et Ø8 mm, gabarit de réglage des forets"
"
              Mortaiseuse à bédane - 750W - 230V - Holzmann          ",1551,,B8285700,9120039905280,HOL-STM26S_230V," mandrin 16mm, socle"
"
              Découpeur PLASMA INVERTER 400 V - 17 Kva - 100A - Holzmann          ",1493,,B8284900,9120039904764,HOL-DIPA100,"Réducteur de pression, boîte complète de pièce de rechange, torche de coupe, pince de masse."
"
              Rouleuse de tôle asymétrique manuelle 1250 x 2 mm - Holzmann          ",1894,,B8283200,9120058372070,HOL-RBM1250M,Poids net en kg : 255
"
              Mortaiseuse à méches + table - 3000W - 230V - Holzmann          ",1784.7,"-7,05%",B8282300,9120039902340,HOL-LBM290K_230V,"1 Mèche 10mm, 4 adaptateurs (19, 20,28 et 30 mm), guide d´onglet, presseur excentrique et outils de montage."
"
              Mortaiseuse à méches - 3800W - 400V - Holzmann          ",1760.01,"-8,33%",B8282200,9120039902333,HOL-LBM290K_400V," 1 Mèche 10mm, 4 adaptateurs (19, 20,28 et 30 mm), guide d´onglet, presseur excentrique et outils de montage."
"
              Outil multifonctions 18 V MT 18 LTX - 2 x 2,0 Ah Li-Power, ASC 55, coffret Metabox + accessoires - Metabo          ",464.07,"-37,4%",B6791300,4007430277534,MET-613021510,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Outil multifonctions 18 V MT 18 LTX - Pick+Mix (sans batterie), coffret Metabox avec accessoires - Metabo          ",250.26,"-40,16%",B6791200,4007430287700,MET-613021840,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Déclencheur automatique d'aspirateur  -  230V / 50Hz - Holzmann          ",101.49,"-7,82%",B8321700,9120058378881,HOL-ALA2_230V,"Poids net en kg : 1,05"
"
              Mortaiseuse pour dégauchisseuse HOB305PRO + mandrin - Holzmann          ",669,,B8297900,9120058376481,HOL-HOB305PROLL,Poids net en kg : 30
"
              Outil multifonctions 12 V MT 12 Powermaxx, 2x2,0 Ah  + 9 accessoires - Metabo          ",271.72,"-20,07%",B7825300,4061792227507,MET-613089510,"Outil multifonctions sans fil oscillant haute performance, aussi efficace qu’une machine filaire"
"
              Pistolet à air chaud HGS 22-630 - 2200W - Débit d'air 150/500 l/min - 0,65 kg - Coffret Metabox - Metabo          ",210.2,"-38,59%",B6817900,4061792186101,MET-604063500,"Forme droite pratique pour une position de travail confortable, par ex. lors des travaux au sol"
"
              Set de 4 outils multifonctions pour le carrelage (1 râpe, 2 lames de scie, 1 grattoir) - KWB by Einhell          ",32.29,-2%,B7276700,4009317087502,EIN-49708750,Kit multifonctions 4 pièces pour le carrelage
"
              Set de 4 outils multifonctions pour bois, plastique et métal (3 lames de scie, 1 grattoir) - KWB by Einhell          ",31.63,"-4,01%",B7276800,4009317088509,EIN-49708850,Kit multifonctions 4 pièces
"
              Outil multifonctions TE-MG 300 EQ - EINHELL           ",84.02,"-12,43%",B4279800,4006825614237,4465150,"L’outil multifonctions TE-MG 300 EQ dispose d’un puissant moteur de 300 Watt, d’un variateur électronique pour des travaux adaptés aux matériaux et aux utilisations, d’une électronique constante pour une puissance constante et d’une poignée à revêtement tendre „softgrip“ pour une bonne prise en main. Un verrouillage rapide permet un changement sans outil des accessoires sur un porte-outil magnétique et réglable à 12 positions. La livraison comprend un système d’aspiration fixable sans outil avec adaptateur et : une lame de scie plongeante HCS (bois, PVC), une lame de scie plongeante BIM (métal), une lame segmentée BIM (bois, PVC, métal), une lame segmentée au diamant (joints de carrelages), un grattoir, un plateau de ponçage triangulaire ainsi que 6 feuilles abrasives, dans un pratique coffret de rangement et de transport."
"
              Outil multifonctions sans fil TE-MG 18 Li Solo (sans batterie, ni chargeur) - EINHELL           ",83.94,"-15,17%",B4502900,4006825618648,4465160,"L’outil multifonctions sans fil Einhell TE-MG 18 Li – Solo est une aide haut de gamme pour les travaux  d’agrandissement, de rénovation ou d’assainissement ; Il fait partie de la gamme Power X-Change. Un verrouillage rapide et un porte-outil aimanté permettent un changement sans outil des accessoires. Une variation électronique et constante assure une adaptation adéquate aux matériaux, sans perte de puissance  même en cas de fortes sollicitations. La poignée à revêtement tendre „Softgrip“ permet un travail confortable. La livraison comprend  un plateau de ponçage triangulaire, 9 feuilles abrasives (3*P60/3*P80/3*P120), un grattoir, une lame de scie plongeante pour bois et PVC (HCS), une lame de scie plongeante BIM pour métal(HSS) et une lame de scie segmentée BIM pour bois, PVC et métal (HSS)."
"
              Outil de ponçage e de gravure TH-MG 135 E - EINHELL           ",59.01,"-6,26%",B1069200,4006825585315,4419169,"135W, régime 10000-32000 tr/min.) support potence, tuyau flexible, avec accessoires et coffret de rangement"
"
              Outil multifonction TC-MG 18 Li-Solo + accessoires inclus - sans batterie - EINHELL           ",61.22,"-11,21%",B7984500,4006825628593,EIN-4465170,"L'outil multifonction sans fil Einhell TC-MG 18 Li - Solo est une aide de haute qualité pour les travaux d'extension, de rénovation et de restauration. Il fait partie de la famille PXC. La fixation magnétique de l'outil avec 12 réglages permet à l'utilisateur de changer d'accessoire rapidement et confortablement. Adaptable au matériau/à l'application particulière. La réduction des vibrations et la poignée souple assure un fonctionnement confortable. Il est livré avec un plateau de ponçage triangulaire, 9 feuilles de papier abrasif (3*P60/3*P80/3*P120), grattoir, coupe plongeante, lame de scie pour le bois et le plastique ainsi qu'une lame de scie segment en plus pour le métal doux (HSS). Livré sans batterie ni chargeur."
"
              Outil multifonctions TE-MG 350 EQ - EINHELL           ",98.18,"-9,05%",B8117900,4006825665680,EIN-4465155,"L’outil multifonctions TE-MG 350 EQ séduit par ses fonctionnalités : moteur de 350 W, variateur électronique pour une utilisation adaptée aux matériaux et aux applications, électronique constante pour une performance stable, lampe LED intégrée et interrupteur avec fonction de verrouillage. Le porte-outils magnétique réglable sur 12 positions et le système de fixation rapide permettent un changement d’accessoire sans outil. L’outil comprend de série un système pour l’aspiration des poussières qui se monte sans outil, un coffret (E-Box S35/33), un plateau de ponçage triangulaire, 9 feuilles abrasives (3 x P60, 3 x P80, 3 x P120), un grattoir, 2 lames plongeantes et 2 lames à segment (acier rapide/diamant dans les deux cas)."
